Unit/Site,Router IP,Switch IP,NUC IP,Speaker IP,Fisheye,Camera 1,Camera 2,Camera 3,Camera 4,Relay,PVE,Scripted
FD1002,10.25.0.1,,,,,,,,,,,
FD1003,10.20.53.65,,,,,,,,,,,
FD1004,10.20.53.129,,,,,,,,,,,
FD1005,10.20.53.161,,,,,,,,,,,
FD1006,10.20.54.1,,,,,,,,,,,
FD1007,10.20.53.193,,,,,,,,,,,
FD1008,10.20.51.129,,,,,,,,,,,
FD1009,10.20.64.1,,,,,,,,,,,
FD1010,10.20.51.1,,,,,,,,,,,
FD1011,10.20.51.33,,,,,,,,,,,
FD1012,10.20.50.129,,,,,,,,,,,
FD1013,10.20.50.33,,,,,,,,,,,
FD1014,10.20.51.97,,,,,,,,,,,
FD1015,10.20.51.225,,,,,,,,,,,
FD1016,10.20.54.65,,,,,,,,,,,
FD1017,10.20.52.129,,,,,,,,,,,
FD1018,10.20.51.193,,,,,,,,,,,
FD1019,10.20.56.1,,,,,,,,,,,
FD1020,10.20.56.97,,,,,,,,,,,
FD1021,10.20.56.129,,,,,,,,,,,
FD1022,10.20.57.1,,,,,,,,,,,
FD1023,10.20.57.65,,,,,,,,,,,
FD1024,10.20.57.129,,,,,,,,,,,
FD1025,10.20.57.193,,,,,,,,,,,
FD1026,10.20.58.1,,,,,,,,,,,
FD1027,10.20.58.65,,,,,,,,,,,
FD1028,10.20.58.129,,,,,,,,,,,
FD1029,10.20.58.193,,,,,,,,,,,
FD1030,10.20.59.1,,,,,,,,,,,
FD1031,10.20.249.1,,,,,,,,,,,
FD1032,10.20.59.129,,,,,,,,,,,
FD1033,10.20.59.65,,,,,,,,,,,
FD1034,10.20.60.1,,,,,,,,,,,
FD1035,10.20.60.65,,,,,,,,,,,
FD1036,10.20.60.129,,,,,,,,,,,
FD1037,10.20.60.193,,,,,,,,,,,
FD1038,10.20.61.1,,,,,,,,,,,
FD1039,10.20.61.65,,,,,,,,,,,
FD1040,10.20.61.129,,,,,,,,,,,
FD1041,10.20.61.193,10.20.61.194,10.20.61.195,10.20.61.197,,10.20.61.201,10.20.61.202,10.20.61.203,10.20.61.204,,,
FD1042,10.20.62.1,,,,,,,,,,,
FD1043,10.20.62.65,,,,,,,,,,,
FD1044,10.20.62.129,,,,,,,,,,,
FD1045,10.20.62.193,,,,,,,,,,,
FD1046,10.20.63.1,,,,,,,,,,,
FD1047,10.20.63.65,,,,,,,,,,,
FD1048,10.20.63.129,,,,,,,,,,,
FD1049,10.20.63.193,,,,,,,,,,,
FD2001,10.40.0.1,10.13.6.21,10.40.0.3,10.40.0.2,,10.40.0.4,,,,,10.13.6.217,10.40.0.5
FD2002,10.40.0.9,10.40.0.13,10.40.0.11,10.13.7.2,,10.40.0.12,,,,,,
FD2003,10.40.0.17,,10.40.0.19,10.13.8.2,,10.40.0.20,,,,,,
FD2004,10.40.0.33,10.40.0.34,10.40.0.35,10.40.0.36,,10.40.0.37,,,,,10.40.0.44,10.40.0.45
FD2005,10.40.0.49,10.40.0.50,10.40.0.51,10.40.0.52,,10.40.0.53,,,,,10.40.0.60,10.40.0.61
FD2006,10.40.0.65,10.40.0.66,10.40.0.67,10.40.0.68,,10.40.0.69,,,,,10.40.0.76,10.40.0.77
FD2007,10.40.0.81,10.40.0.83,10.40.0.84,10.40.0.85,,10.40.0.86,,,,,10.40.0.92,10.40.0.93
FD2008,10.199.1.1,,10.199.1.2,10.199.1.3,,10.199.1.4,,,,,10.199.1.29,10.199.1.30
FD2009,10.199.1.33,,10.199.1.35,10.199.1.36,,10.199.1.37,,,,,10.199.1.61,10.199.1.62
FD2010,10.199.1.65,,10.199.1.66,10.199.1.67,,10.199.1.68,,,,,10.199.1.93,10.199.1.94
FD2011,10.199.1.97,,10.199.1.99,10.199.1.100,,10.199.1.101,,,,,10.199.1.125,10.199.1.126
FD2012,10.199.1.129,,10.199.1.131,10.199.1.132,,10.199.1.133,,,,,10.199.1.157,10.199.1.158
FD2013,10.199.1.161,,10.199.1.162,10.199.1.163,,10.199.1.164,,,,,10.199.1.188,10.199.1.189
FD2014,10.199.1.193,,10.199.1.195,10.199.1.196,,10.199.1.197,,,,,10.199.1.221,10.199.1.222
FD2015,10.199.1.225,,10.199.1.227,10.199.1.228,,10.199.1.229,,,,,10.199.1.253,10.199.1.254
FD2016,10.199.2.1,,10.199.2.3,10.199.2.4,,10.199.2.5,,,,,10.199.2.29,10.199.2.30
FD2017,10.199.2.33,,10.199.2.35,10.199.2.36,,10.199.2.37,,,,,10.199.2.61,10.199.2.62
FD2018,10.199.2.65,,,,,,,,,,,
FD2019,10.199.2.97,,,,,,,,,,,
FD2020,10.199.2.129,,,,,,,,,,,
FD2021,10.199.2.161,,,,,,,,,,,
MU1001,10.20.100.1,10.20.100.2,10.20.100.3,10.20.100.4,,10.20.100.5,10.20.100.6,10.20.100.7,10.20.100.8,,,
MU1002,10.20.100.17,10.20.100.18,10.20.100.19,10.20.100.20,,10.20.100.21,10.20.100.22,10.20.100.23,10.20.100.24,,,
