unit,host,ram_total,ram_used,ram_util_pct,pagefile_total,pagefile_free,pagefile_free_pct,pagefile_used_pct,missing_items
FD1041,FD1041-NUC,15.92 GB,4.72 GB,29.3%,2.38 GB,2.05 GB,88.9%,11.1%,
FD2001,FD2001-NUC,7.97 GB,2.44 GB,30.6%,1.25 GB,1.25 GB,100.0%,0.0%,
FD2002,FD2002-NUC,7.91 GB,2.48 GB,31.3%,1.25 GB,1.25 GB,100.0%,0.0%,
FD2003,FD2003-NUC,7.91 GB,1.84 GB,23.0%,1.25 GB,1.25 GB,100.0%,0.0%,
FD2008,FD2008-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2010,FD2010-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2011,FD2011-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2012,FD2012-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2013,FD2013-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2014,FD2014-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2015,FD2015-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2016,FD2016-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
FD2017,FD2017-NUC,,,,,,,,ram_total;ram_used;ram_util_pct;pagefile_total;pagefile_free;pagefile_free_pct;pagefile_used_pct
MU1001,MU1001-NUC,7.82 GB,2.62 GB,33.4%,1.25 GB,1.21 GB,96.9%,3.1%,
