"ID","Subject"
"ISS-2026-04843","OAK - RD3402(MU9011) - Unit Outage - Rodan Builders - ALCO DB1 - Fairmont Hospital Campus"
"ISS-2026-04838","HOU - RD3156(MU9054) - Unit Outage Full - Apollo Developers - Unicorn Lake Apartments"
"ISS-2026-04819","OAK - RD3385(MU4062) - Unit Outage - Full - Ace Building Company Inc - Shiloh Mixed Use"
"ISS-2026-04790","LAX - RD3413(MU8014) - Unit Outage - Ocean Development Inc - 118 W Pine St"
"ISS-2026-04789","LAX - RD3388(MU8078) - Unit Outage full - Cornerstone Construction Company - Devore"
"ISS-2026-04766","LAX - RD3254(MU5108) - Unit Outage Full - IEC - Adelanto Plan"
"ISS-2026-04751","PHX - RD3126(MU5031) - Unit Outage - On-Site Builders - Chick-Fil-A #6065 - Phx"
"ISS-2026-04750","LAX - RD3308(MU8011) - Unit Down - Powell Associates Foothill SB LLC - DBH"
"ISS-2026-04718","OAK - RD3342(MU8043) - Unit Is unplugged - Myers - ACC Joint Venture"
"ISS-2026-04698","OAK - RD3189 - Full Outage - Enviro Soil Tech - 2380 San Bruno Ave"
"ISS-2026-04647","PHX - RD3122(MU6004) - Unit outage full - Evergreen Commerical Realty Inc-48th & Alameda Industrial"
"ISS-2026-04605","LAX - RD3303(MU8006) - Unit Outage - Coffman Specialtie - 24-0009 Yard Dave Busters"
"ISS-2026-04500","LAX - RD3227(MU7041) - Unit Outage full - Eastern Municipal Water District - MVRWRF"
"ISS-2026-04264","LAX - RD3358(MU8041) - Unit Outage-Coffman Specialties, Inc. - 2409 West End"
"ISS-2026-04261","OAK - RD3392(MU9019) - Unit Outage Full - Build Group - Napa First Street Hotel"
"ISS-2026-03513","OAK - RD3520(MU1020) - Unit swap - Build Group - Napa First Street"
