Agent Name,Mesh-Status,VPN Status
FD1035,Mesh agent is connected and ready for use.,down
MU1003,Mesh agent is not connected.,down
MU1010,Mesh agent is not connected.,down
MU1016,Mesh agent is not connected.,down
MU1020,Mesh agent is not connected.,down
MU1023,Mesh agent is not connected.,down
MU1024,Mesh agent is not connected.,down
MU1026,Mesh agent is not connected.,down
MU1027,Mesh agent is not connected.,down
MU1030,Mesh agent is not connected.,down
MU1032,Mesh agent is not connected.,down
MU1036,Mesh agent is not connected.,down
MU1038,Mesh agent is not connected.,down
MU1040,Mesh agent is not connected.,down
MU1042,Mesh agent is not connected.,down
RD1026,Mesh agent is not connected.,up
RD1027,Mesh agent is not connected.,up
RD3059,Mesh agent is not connected.,up
RD3189,Mesh agent is not connected.,down
RD3254,Mesh agent is not connected.,down
RD3342,Mesh agent is not connected.,down
RD3392,Mesh agent is not connected.,down
RD3402,Mesh agent is not connected.,down
RD3550,Mesh agent is connected and ready for use.,down
RD3552,Mesh agent is connected and ready for use.,down
RD3553,Mesh agent is connected and ready for use.,down
RD3554,Mesh agent is connected and ready for use.,down
